timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1778857681916,4686,04 execTest,200,OK,Thread Group 1-217,text,true,,12968,413,53,53,http://192.168.27.1/tcexam/public/code/tce_test_execute.php?testid=17,4434,0,0
1778857685192,1482,09 showTestList,200,OK,Thread Group 1-179,text,true,,10820,402,53,53,http://192.168.27.1/tcexam/public/code/index.php,1378,0,0
1778857684983,1756,05 execTestLoop,200,OK,Thread Group 1-193,text,true,,12857,1484,53,53,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,1527,0,0
1778857686077,671,10 doLogout,200,OK,Thread Group 1-177,text,true,,872,391,53,53,http://192.168.27.1/tcexam/public/code/tce_logout.php,671,0,0
1778857685301,1523,02 getTestID,200,OK,Thread Group 1-222,text,true,,11081,384,53,53,http://192.168.27.1/tcexam/public/code/index.php,1426,0,0
1778857682068,4903,04 execTest,200,OK,Thread Group 1-216,text,true,,12968,419,53,53,http://192.168.27.1/tcexam/public/code/tce_test_execute.php?testid=17,4779,0,0
1778857685190,1920,05 execTestLoop,200,OK,Thread Group 1-190,text,true,,12861,1497,53,53,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,1795,0,0
1778857685822,1459,07 terminateTest,200,OK,Thread Group 1-180,text,true,,6489,1692,53,53,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,1459,0,0
1778857685672,1698,06 execTestLastQuestionConfirmation,200,OK,Thread Group 1-185,text,true,,12859,1545,53,53,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,1425,0,2
1778857686785,596,11 getLoginPage,200,OK,Thread Group 1-175,text,true,,9163,551,53,53,http://192.168.27.1/tcexam/public/code/,3,0,0
1778857686785,3,11 getLoginPage-0,301,Moved Permanently,Thread Group 1-175,text,true,,585,349,53,53,http://192.168.27.1/tcexam/public/code,3,0,0
1778857686788,593,11 getLoginPage-1,200,OK,Thread Group 1-175,text,true,,8578,202,53,53,http://192.168.27.1/tcexam/public/code/,592,0,0
1778857685389,2054,05 execTestLoop,200,OK,Thread Group 1-198,text,true,,12938,1523,53,53,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,1854,0,0
1778857685016,2586,08 forceTerminateTest,200,OK,Thread Group 1-182,text,true,,11631,1447,53,53,http://192.168.27.1/tcexam/public/code/index.php,902,0,0
1778857685016,902,08 forceTerminateTest-0,302,Found,Thread Group 1-182,text,true,,724,1211,53,53,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,902,0,0
1778857685918,1684,08 forceTerminateTest-1,200,OK,Thread Group 1-182,text,true,,10907,236,53,53,http://192.168.27.1/tcexam/public/code/index.php,1501,0,0
