timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1778855453413,797,05 execTestLoop,200,OK,Thread Group 1-101,text,true,,12941,1549,39,39,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,714,0,0
1778855453516,803,05 execTestLoop,200,OK,Thread Group 1-89,text,true,,12859,1510,39,39,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,684,0,0
1778855452627,1769,04 execTest,200,OK,Thread Group 1-111,text,true,,12885,407,39,39,http://192.168.27.1/tcexam/public/code/tce_test_execute.php?testid=17,1624,0,0
1778855453616,797,07 terminateTest,200,OK,Thread Group 1-86,text,true,,6490,1636,39,39,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,797,0,0
1778855453718,864,05 execTestLoop,200,OK,Thread Group 1-97,text,true,,12858,1549,39,39,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,725,0,0
1778855453781,887,05 execTestLoop,200,OK,Thread Group 1-94,text,true,,12938,1523,39,39,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,794,0,0
1778855454097,709,02 getTestID,200,OK,Thread Group 1-115,text,true,,10907,388,39,39,http://192.168.27.1/tcexam/public/code/index.php,675,0,0
1778855454009,891,05 execTestLoop,200,OK,Thread Group 1-90,text,true,,12942,1484,40,40,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,741,0,0
1778855454553,351,11 getLoginPage,200,OK,Thread Group 1-81,text,true,,9163,559,40,40,http://192.168.27.1/tcexam/public/code/,2,0,0
1778855454553,2,11 getLoginPage-0,301,Moved Permanently,Thread Group 1-81,text,true,,585,357,40,40,http://192.168.27.1/tcexam/public/code,2,0,0
1778855454555,349,11 getLoginPage-1,200,OK,Thread Group 1-81,text,true,,8578,202,40,40,http://192.168.27.1/tcexam/public/code/,349,0,0
1778855453006,1962,04 execTest,200,OK,Thread Group 1-112,text,true,,12970,407,39,39,http://192.168.27.1/tcexam/public/code/tce_test_execute.php?testid=18,1781,0,0
1778855454138,834,05 execTestLoop,200,OK,Thread Group 1-105,text,true,,12947,1588,39,39,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,733,0,0
1778855454150,886,05 execTestLoop,200,OK,Thread Group 1-110,text,true,,12871,1492,39,39,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,680,0,0
1778855454049,998,05 execTestLoop,200,OK,Thread Group 1-96,text,true,,12936,1601,39,39,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,711,0,0
1778855454163,890,05 execTestLoop,200,OK,Thread Group 1-95,text,true,,12854,1549,39,39,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,755,0,0
1778855453904,1165,05 execTestLoop,200,OK,Thread Group 1-92,text,true,,12851,1614,39,39,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,840,0,0
1778855454213,1021,05 execTestLoop,200,OK,Thread Group 1-100,text,true,,12854,1575,39,39,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,857,0,0
1778855454899,344,10 doLogout,200,OK,Thread Group 1-83,text,true,,872,403,39,39,http://192.168.27.1/tcexam/public/code/tce_logout.php,344,0,0
1778855454873,464,00 getLoginPage,200,OK,Thread Group 1-118,text,true,,9201,459,39,39,http://192.168.27.1/tcexam/public/code/,4,0,1
1778855454873,4,00 getLoginPage-0,301,Moved Permanently,Thread Group 1-118,text,true,,623,298,39,39,http://192.168.27.1/tcexam/public/code,4,0,1
1778855454491,833,05 execTestLoop,200,OK,Thread Group 1-88,text,true,,12857,1570,39,39,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,630,0,0
1778855454877,460,00 getLoginPage-1,200,OK,Thread Group 1-118,text,true,,8578,161,39,39,http://192.168.27.1/tcexam/public/code/,459,0,0
1778855454379,985,05 execTestLoop,200,OK,Thread Group 1-103,text,true,,12858,1536,39,39,http://192.168.27.1/tcexam/public/code/tce_test_execute.php,875,0,0
